Pays;Population totale;Taux de natalité;Taux de mortalité;Espérance de vie;Taux de mortalité infantile;Nombre d’enfant(s) par femme;Taux de croissance;Population de 65 ans et plus
Guyane;778;19,9;8,6;66,8;30,9;2,46;5,2;43
Guyane (française);290;23,5;3;80,5;8,8;3,27;24,5;16
Paraguay;6 897;20,6;5,8;73,3;27,4;2,43;12,4;453
Pérou;32 554;18,6;5,6;75,6;14,8;2,34;11,8;2 389
Surinam;556;17,2;7,7;71,6;15;2,27;7,8;40
Uruguay;3 470;13,8;9,4;77,8;10,9;1,98;3,7;512
Venezuela;32 328;18,4;5,7;75;11,9;2,27;12,4;2 204
Canada;36 958;10,5;7,5;82,7;4;1,56;8,9;6 419
Etats-Unis;328 836;12,5;8,5;79,6;5,3;1,89;7,2;52 269
Biélorussie;9 429;11,6;14,6;71,8;3,5;1,65;-3,3;1 387
Bulgarie;6 992;9,4;15,6;74,6;8;1,6;-7,6;1 463
Hongrie;9 754;9,3;13,5;75,7;4,2;1,41;-3,5;1 864
Moldavie;4 045;10;11,7;71,9;9,7;1,23;-2,7;464
Pologne;38 523;9,4;10,4;78,1;4;1,33;-1,2;6 686
Roumanie;19 105;8,9;13,7;75,2;8,3;1,54;-6,9;3 575
Russie;143 261;12,3;14,2;70,5;7,3;1,73;-1;20 676
Slovaquie;5 434;10,3;10,3;76,8;4,4;1,44;0,3;837
Tchèque (République);10 563;10;10,6;79,2;2,1;1,54;0,7;2 067
Ukraine;44 170;10,6;15,6;71,3;8,3;1,56;-5,4;7 283
Anglo-Normandes (Îles);166;9,3;9,1;81,3;7,3;1,49;4,6;30
Danemark;5 733;10,7;9,6;80,8;3,5;1,76;3,7;1 132
Estonie;1 302;10,7;12,7;77,3;2,8;1,66;-2,6;256
Finlande;5 556;10,7;9,9;81,6;1,8;1,76;2,7;1 212
Irlande;4 791;13,2;6,6;81,6;2,4;2;8,8;682
Islande;337;12,8;6,5;83,2;1,8;1,89;7,8;50
Lettonie;1 936;10,1;15,4;74,6;5,5;1,56;-4,4;383
Lituanie;2 817;10,5;16,2;73,8;3,1;1,64;-4,3;535
Norvège;5 387;11,9;7,9;82,2;2,1;1,81;10,3;913
Royaume Uni;65 913;12,4;9,1;81,3;3,6;1,91;6,1;11 997
Suède;9 987;12,2;9;82,9;2,4;1,93;6,6;2 044
Albanie;2 919;13,8;7,8;78,5;12,5;1,78;2,7;393
Bosnie-Herzégovine;3 782;8,4;11,1;77,1;6,4;1,23;-2,9;644
Croatie;4 195;9,1;12,8;78;3,2;1,48;-3,7;844
Espagne;46 117;8,5;9,2;83,3;2,5;1,38;1,1;9 048
Grèce;10 872;7,9;11,3;81,7;2,3;1,3;-2;2 383
Italie;59 788;8,2;10,3;83,8;1,9;1,49;-0,2;13 970
Macédoine;2 085;11,1;9,8;76;8,4;1,56;0,9;284
Malte;421;9;9,3;81,2;4;1,49;2;86
Monténégro;626;11;10,3;76,7;3,6;1,65;-0,1;94
Portugal;10 229;7,5;10,7;81,9;2,6;1,24;-3,4;2 246
Serbie;8 743;10,2;13,1;75,4;8,2;1,6;-3,9;1 626
Slovénie;2 073;10,1;10;81,1;2,7;1,66;0,8;406
Allemagne;80 561;8,7;11,3;81,6;2,5;1,44;-1;17 746
Autriche;8 614;9,7;9,5;82,2;2,5;1,53;2,4;1 660
Belgique;11 513;11,4;9,7;81,5;2,7;1,83;5,8;2 171
France (métropolitaine);65 206;11,9;9,1;82,9;2,8;1,99;4,1;13 167
Luxembourg;591;11,5;7,1;82,4;1,3;1,61;11,7;86
Pays-Bas;17 085;10,5;8,8;82,1;3;1,77;3;3 330
Suisse;8 524;10,5;8;83,7;3;1,58;8;1 592
Australie;24 967;12,9;6,7;83,1;3,3;1,86;12,9;3 945
Nouvelle-Zélande;4 647;12,8;6,9;82,5;3,7;1,98;9;741
Fidji;907;18,6;7,3;70,7;13,1;2,47;4,9;58
Nouvelle-Calédonie;273;14,8;7;77,4;11,3;2,03;12,1;29
Papouasie-Nouvelle-Guinée;8 093;27,2;7,6;63,3;44,5;3,56;19,7;262
